gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC187067.4_FG001,0.036441918,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC187072.4_FG001,0,NA,NA,NA,NA,NA
AC187072.4_FG002,0.168198918,-0.165741015,0.135313687,-1.224865112,0.220626047,NA
AC187080.3_FG006,0.07694454,-0.034972335,0.129874289,-0.269278355,0.787715487,NA
AC187080.3_FG007,0.263883352,-0.1216942,0.210810665,-0.577267757,0.563758591,NA
AC187082.3_FG003,0,NA,NA,NA,NA,NA
AC187086.3_FG004,0,NA,NA,NA,NA,NA
AC187088.3_FG002,0,NA,NA,NA,NA,NA
AC187090.3_FG003,0.026204442,0.07138026,0.127345089,0.560526213,0.575120565,NA
AC187090.3_FG011,0,NA,NA,NA,NA,NA
AC187092.6_FG003,0,NA,NA,NA,NA,NA
AC187096.5_FG001,0.123668049,0.007241705,0.13229533,0.054738928,0.956346455,NA
AC187098.4_FG011,40.34000512,-0.092952286,0.288537442,-0.322149822,0.747339196,0.940763963
AC187099.5_FG005,0.210009047,0.008322087,0.140069262,0.059414087,0.952622293,NA
AC187142.3_FG007,0.026204442,0.07138026,0.127345089,0.560526213,0.575120565,NA
AC187157.4_FG001,0.642440966,0.008030919,0.305547954,0.026283662,0.979031086,NA
AC187157.4_FG002,31.36559561,0.191376118,0.300274118,0.637338041,0.523904677,0.864744472
AC187157.4_FG005,73.0194851,-0.066912591,0.331509517,-0.201842143,0.840040135,0.965738462
AC187160.3_FG003,0.036441918,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC187207.3_FG006,0.203431538,0.115508438,0.161800166,0.713895671,0.475291694,NA
AC187209.5_FG003,0,NA,NA,NA,NA,NA
AC187209.5_FG010,0.093652497,0.006368192,0.129655905,0.049116098,0.960826775,NA
AC187212.3_FG011,0.042128911,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC187222.4_FG001,0.120812351,-0.095033148,0.144908318,-0.655815687,0.511942722,NA
AC187235.3_FG003,0,NA,NA,NA,NA,NA
AC187243.3_FG005,1.46061973,-0.24831239,0.361948875,-0.686042718,0.492686171,NA
AC187262.4_FG007,1.003286888,0.312912539,0.308418469,1.014571338,0.310310208,NA
AC187263.4_FG001,18.85420543,0.179175233,0.325034454,0.551249969,0.58146233,0.888609652
AC187279.3_FG003,1.459994318,0.83249608,0.374366665,2.223745216,0.026165591,NA
AC187279.3_FG004,1.438086094,0.146890435,0.273375375,0.537321382,0.591045638,NA
AC187283.3_FG005,0,NA,NA,NA,NA,NA
AC187393.3_FG001,1.423461601,-0.030398056,0.358262759,-0.084848496,0.932381838,NA
AC187404.3_FG003,0,NA,NA,NA,NA,NA
AC187404.3_FG006,0.166436942,0.00692101,0.134701795,0.051380236,0.959022533,NA
AC187460.4_FG002,0,NA,NA,NA,NA,NA
AC187469.3_FG005,0.099196543,0.073886461,0.129460531,0.57072577,0.568185548,NA
AC187485.3_FG001,0.09800457,0.050610544,0.130708777,0.387200807,0.698607552,NA
AC187551.3_FG002,5.769120041,0.360479941,0.40092416,0.89912252,0.368587404,0.790239164
AC187560.5_FG003,0.43170797,-0.157956565,0.288143063,-0.548187983,0.583562833,NA
AC187567.4_FG004,0.226939559,-0.059570335,0.215057267,-0.276997544,0.781781992,NA
AC187782.4_FG009,0.048355428,0.003814255,0.127345089,0.02995212,0.976105239,NA
AC187789.3_FG001,0,NA,NA,NA,NA,NA
AC187800.4_FG003,0,NA,NA,NA,NA,NA
AC187802.3_FG008,0.080343955,-0.062615076,0.127345089,-0.491696044,0.622934235,NA
AC187809.3_FG005,0.197129827,-0.127123263,0.135390964,-0.938934621,0.347764312,NA
AC187813.3_FG002,0,NA,NA,NA,NA,NA
AC187818.3_FG004,0.045821728,-0.063095837,0.1273708,-0.495371284,0.620338061,NA
AC187826.3_FG007,0,NA,NA,NA,NA,NA
AC187843.3_FG001,0,NA,NA,NA,NA,NA
AC187843.3_FG006,1.022197073,-0.566168829,0.280220471,-2.020440648,0.043337701,NA
AC187843.3_FG010,0,NA,NA,NA,NA,NA
AC187870.3_FG002,0,NA,NA,NA,NA,NA
AC187872.3_FG005,0,NA,NA,NA,NA,NA
AC187879.3_FG001,0.499462674,-0.114533542,0.327448987,-0.349775222,0.726507396,NA
AC187885.3_FG002,4.456218549,-0.327120484,0.401961157,-0.813811181,0.415753129,0.815397393
AC187887.3_FG008,0.231984008,0.085480237,0.152429361,0.560785906,0.574943496,NA
AC187891.3_FG006,1.412233826,0.016882822,0.37568455,0.044938823,0.964156072,NA
AC187895.2_FG001,0.188422593,0.074389733,0.18718718,0.397408268,0.691066419,NA
AC187895.2_FG002,0,NA,NA,NA,NA,NA
AC187896.3_FG006,0.098182635,0.008120834,0.130117788,0.062411406,0.950235212,NA
AC187899.3_FG002,0,NA,NA,NA,NA,NA
AC187901.4_FG004,0.026204442,0.07138026,0.127345089,0.560526213,0.575120565,NA
AC187903.3_FG004,0,NA,NA,NA,NA,NA
AC187910.5_FG002,0.450558571,0.432020032,0.243695963,1.772782887,0.07626469,NA
AC188000.3_FG003,0.042128911,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC188001.3_FG009,0.076735824,-0.045297482,0.128460934,-0.352616784,0.724375753,NA
AC188003.3_FG012,0.069009332,0.124771345,0.128663417,0.969749971,0.332171136,NA
AC188023.3_FG005,115.0393502,-0.167495322,0.224639557,-0.745618109,0.45589814,0.83711817
AC188023.3_FG011,0.132938365,0.052789227,0.133562,0.395241361,0.692664771,NA
AC188036.3_FG003,0.422509731,-0.319308198,0.245444822,-1.300936783,0.193280094,NA
AC188128.3_FG002,0,NA,NA,NA,NA,NA
AC188134.2_FG011,0.201394864,-0.045879,0.157435653,-0.291414297,0.770734482,NA
AC188195.2_FG003,0,NA,NA,NA,NA,NA
AC188195.2_FG004,0,NA,NA,NA,NA,NA
AC188195.2_FG005,0,NA,NA,NA,NA,NA
AC188296.3_FG004,2.496506076,0.77533857,0.351977568,2.202806769,0.027608371,NA
AC188582.3_FG002,0,NA,NA,NA,NA,NA
AC188583.4_FG003,0.352238806,-0.018829023,0.191759874,-0.098190631,0.921780922,NA
AC188612.3_FG009,0,NA,NA,NA,NA,NA
AC188710.4_FG006,4.002114719,0.53950742,0.404362798,1.334216262,0.182132992,0.63423365
AC188718.3_FG005,0,NA,NA,NA,NA,NA
AC188718.3_FG011,0,NA,NA,NA,NA,NA
AC188718.3_FG015,0.152652307,0.097200552,0.134937991,0.720334958,0.471318786,NA
AC188721.3_FG001,0.108544035,-0.002860885,0.131789637,-0.02170797,0.982680906,NA
AC188722.3_FG002,0.051574491,0.007316851,0.128306899,0.057026173,0.954524346,NA
AC188723.3_FG001,0,NA,NA,NA,NA,NA
AC188724.3_FG006,0.320923069,-0.051239394,0.169950791,-0.301495471,0.763036703,NA
AC188727.3_FG003,0,NA,NA,NA,NA,NA
AC188735.3_FG001,0,NA,NA,NA,NA,NA
AC188744.3_FG009,0.087385821,0.006253205,0.129206306,0.048397058,0.961399804,NA
AC188745.3_FG001,0,NA,NA,NA,NA,NA
AC188752.3_FG008,0.13604088,-0.0267864,0.133658066,-0.2004099,0.841160018,NA
AC188753.3_FG004,0.078613327,0.142274319,0.129568302,1.098064245,0.272176437,NA
AC188755.3_FG001,0.746934864,-0.101540599,0.319690771,-0.317621301,0.750772214,NA
AC188756.2_FG004,0.036441918,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC188757.4_FG004,0.045821728,-0.063095837,0.1273708,-0.495371284,0.620338061,NA
AC188831.3_FG005,3.622906036,0.006513017,0.399408538,0.016306656,0.986989748,0.997534147
